7zip 26.02-1
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libevdev 1.13.6-1
libevent 2.1.13-2
libfdk-aac 2.0.3-2
libffi 3.7.1-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-2
libgcc 16.1.1+r595+g171d15ac6959-1
libgcrypt 1.12.2-1
libgfortran 16.1.1+r595+g171d15ac6959-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgomp 16.1.1+r595+g171d15ac6959-1
libgovirt 2:0.3.11-1
libgpg-error 1.61-1
libgudev 238-3
libhwasan 16.1.1+r595+g171d15ac6959-1
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libinput 1.31.3-1
libiscsi 1.20.3-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.0-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblouis 3.38.0-1
liblsan 16.1.1+r595+g171d15ac6959-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmd 1.2.0-1
libmilter 8.18.2-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmspack 1:1.11-2
libmysofa 1.3.4-1
libnbd 1.24.3-1
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnl 3.12.0-1
libnm 1.58.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libnvme 1.16.2-1
libobjc 16.1.1+r595+g171d15ac6959-1
libogg 1.3.6-1
libopenmpt 0.8.7-1
libp11-kit 0.26.4-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipewire 1:1.6.8-1
libplacebo 7.360.1-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.12.0-1
libquadmath 16.1.1+r595+g171d15ac6959-1
libraw1394 2.1.2-4
librest 0.10.2-1
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libslirp 4.9.3-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspeechd 0.12.1-3
libssh 0.12.2-1
libssh2 1.11.1-6
libstdc++ 16.1.1+r595+g171d15ac6959-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-4
libtasn1 4.21.0-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtool 2.6.2-3
libtpms 0.10.2-1
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.1.1+r595+g171d15ac6959-1
libubsan 16.1.1+r595+g171d15ac6959-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.15-1
libusb 1.0.30-1
libva 2.24.1-1
libvdpau 1.5-4
libverto 0.3.2-6
libvirt 1:12.5.0-1
libvirt-glib 5.0.0-3
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libwacom 2.19.1-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.8-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.5.arch1-2
linux-api-headers 7.1-1
linux-firmware 20260622-1
linux-firmware-amdgpu 20260622-1
linux-firmware-atheros 20260622-1
linux-firmware-broadcom 20260622-1
linux-firmware-cirrus 20260622-1
linux-firmware-intel 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-radeon 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lua 5.5.0-2
lua54 5.4.8-6
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
make 4.4.1-3
md4c 0.5.3-1
mdadm 4.6-2
mesa 1:26.1.5-1
minizip 1:1.3.2-3
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mtdev 1.1.7-1
multipath-tools 0.14.3-1
nano 9.1-1
ncurses 6.6-2
ndctl 85-1
nettle 4.0-1
networkmanager 1.58.0-1
nftables 1:1.1.6-3
nm-connection-editor 1.36.0-2
noto-fonts 1:2026.07.01-1
npth 1.8-1
nspr 4.39-1
nss 3.126-1
ntsync-autoload 1-1
numactl 2.0.19-1
nvidia-utils 610.43.03-5
ocl-icd 2.3.5-1
ollama 0.32.5-1
onetbb 2023.1.0-1
opencode 1.18.8-1
opencode-desktop-bin 1.18.8-2
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openssh 10.4p1-3
openssl 3.6.3-1
opera 133.0.5932.85-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
ostree 2026.2-1
p11-kit 0.26.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.0-1
parted 3.7-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.4-1
playerctl 2.4.1-5
polkit 127-3
pop-icon-theme 3.5.1-1
pop-launcher 1.2.7-2
popt 1.19-2
portaudio 1:19.7.0-4
procps-ng 4.0.6-3
psmisc 23.7-2
pyside6 6.11.1-4
python 3.14.6-1
python-attrs 26.1.0-1
python-certifi 2026.06.17-1
python-cffi 2.1.0-1
python-charset-normalizer 3.4.7-1
python-cryptography 49.0.0-1
python-filelock 3.29.3-1
python-gobject 3.56.3-1
python-idna 3.18-1
python-packaging 26.2-1
python-pip 26.1.2-1
python-psutil 7.2.2-1
python-pyaudio 0.2.14-5
python-pycparser 3.00-1
python-requests 2.34.2-1
python-urllib3 2.7.0-1
python-wheel 0.47.0-1
qemu-audio-alsa 11.0.2-4
qemu-audio-dbus 11.0.2-4
qemu-audio-jack 11.0.2-4
qemu-audio-oss 11.0.2-4
qemu-audio-pa 11.0.2-4
qemu-audio-pipewire 11.0.2-4
qemu-audio-sdl 11.0.2-4
qemu-audio-spice 11.0.2-4
qemu-base 11.0.2-4
qemu-block-curl 11.0.2-4
qemu-block-dmg 11.0.2-4
qemu-block-gluster 11.0.2-4
qemu-block-iscsi 11.0.2-4
qemu-block-nfs 11.0.2-4
qemu-block-ssh 11.0.2-4
qemu-chardev-baum 11.0.2-4
qemu-chardev-spice 11.0.2-4
qemu-common 11.0.2-4
qemu-desktop 11.0.2-4
qemu-docs 11.0.2-4
qemu-emulators-full 11.0.2-4
qemu-full 11.0.2-4
qemu-hw-display-qxl 11.0.2-4
qemu-hw-display-virtio-gpu 11.0.2-4
qemu-hw-display-virtio-gpu-gl 11.0.2-4
qemu-hw-display-virtio-gpu-pci 11.0.2-4
qemu-hw-display-virtio-gpu-pci-gl 11.0.2-4
qemu-hw-display-virtio-gpu-pci-rutabaga 11.0.2-4
qemu-hw-display-virtio-gpu-rutabaga 11.0.2-4
qemu-hw-display-virtio-vga 11.0.2-4
qemu-hw-display-virtio-vga-gl 11.0.2-4
qemu-hw-display-virtio-vga-rutabaga 11.0.2-4
qemu-hw-s390x-virtio-gpu-ccw 11.0.2-4
qemu-hw-uefi-vars 11.0.2-4
qemu-hw-usb-host 11.0.2-4
qemu-hw-usb-redirect 11.0.2-4
qemu-hw-usb-smartcard 11.0.2-4
qemu-img 11.0.2-4
qemu-pr-helper 11.0.2-4
qemu-system-aarch64 11.0.2-4
qemu-system-alpha 11.0.2-4
qemu-system-alpha-firmware 11.0.2-4
qemu-system-arm 11.0.2-4
qemu-system-arm-firmware 11.0.2-4
qemu-system-avr 11.0.2-4
qemu-system-hppa 11.0.2-4
qemu-system-hppa-firmware 11.0.2-4
qemu-system-loongarch64 11.0.2-4
qemu-system-m68k 11.0.2-4
qemu-system-microblaze 11.0.2-4
qemu-system-microblaze-firmware 11.0.2-4
qemu-system-mips 11.0.2-4
qemu-system-or1k 11.0.2-4
qemu-system-ppc 11.0.2-4
qemu-system-ppc-firmware 11.0.2-4
qemu-system-riscv 11.0.2-4
qemu-system-riscv-firmware 11.0.2-4
qemu-system-rx 11.0.2-4
qemu-system-s390x 11.0.2-4
qemu-system-s390x-firmware 11.0.2-4
qemu-system-sh4 11.0.2-4
qemu-system-sparc 11.0.2-4
qemu-system-sparc-firmware 11.0.2-4
qemu-system-tricore 11.0.2-4
qemu-system-x86 11.0.2-4
qemu-system-x86-firmware 11.0.2-4
qemu-system-xtensa 11.0.2-4
qemu-tests 11.0.2-4
qemu-tools 11.0.2-4
qemu-ui-curses 11.0.2-4
qemu-ui-dbus 11.0.2-4
qemu-ui-egl-headless 11.0.2-4
qemu-ui-gtk 11.0.2-4
qemu-ui-opengl 11.0.2-4
qemu-ui-sdl 11.0.2-4
qemu-ui-spice-app 11.0.2-4
qemu-ui-spice-core 11.0.2-4
qemu-user 11.0.2-4
qemu-vhost-user-gpu 11.0.2-4
qemu-vmsr-helper 11.0.2-4
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-positioning 6.11.1-1
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-4
qt6ct 0.11-7
rav1e 0.8.1-3
rdma-core 64.0-1
re2 2:2025.11.05-5
readline 8.3.003-1
reflector 2023-5
ripgrep 15.2.0-1
rpcbind 1.2.9-1
rubberband 4.0.0-2
rutabaga-ffi 0.1.80-1
sbc 2.2-1
sdl2-compat 2.32.70-1
sdl2_image 2.8.12-2
sdl3 3.4.12-1
seabios 1.17.0-2
seatd 0.9.3-1
sed 4.10-1
serd 0.32.10-1
shaderc 2026.2-2
shadow 4.19.4.arch1-1
shared-mime-info 2.5.1-2
shiboken6 6.11.1-4
slang 2.3.3-4
snappy 1.2.2-3
sndio 1.10.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-3
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.350.1-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
switcheroo-control 3.0-1
swtpm 0.10.1-2
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
tar 1.35-2
texinfo 7.3-1
tinysparql 3.11.1-1
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-opensans 3.003-1
twolame 0.4.0-4
tzdata 2026c-1
udisks2 2.11.1-2
unzip 6.0-23
usbredir 0.15.0-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vde2 2.3.3-9
vid.stab 1.1.1-3
vim 9.2.0849-1
vim-runtime 9.2.0849-1
virglrenderer 1.3.0-2
virt-viewer 11.0-4
virtiofsd 1.14.0-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-icd-loader 1.4.350.1-1
wavpack 5.9.0-1
wayland 1.25.0-1
webrtc-audio-processing-1 1.3-5
which 2.25-1
wine 11.14-2
wine-gecko 2.47.4-2
wine-mono 11.2.0-1
wireplumber 0.5.15-1
wolfssl 5.9.2-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.2-2
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-cosmic 1:1.4.0-1
xdg-utils 1.2.1-2
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yay 13.0.1-1
yay-debug 13.0.1-1
zeromq 4.3.5-3
zimg 3.0.6-2
zip 3.0-13
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
